n,eeg_to_speech_top1,speech_to_eeg_top1,eeg_to_speech_top5,speech_to_eeg_top5,eeg_to_speech_mean_rank,speech_to_eeg_mean_rank,positive_cosine_mean,negative_cosine_mean,pos_minus_neg,time_shift_n,time_shift_eeg_to_speech_top1,time_shift_speech_to_eeg_top1,time_shift_eeg_to_speech_top5,time_shift_speech_to_eeg_top5,time_shift_eeg_to_speech_mean_rank,time_shift_speech_to_eeg_mean_rank,time_shift_positive_cosine_mean,time_shift_negative_cosine_mean,time_shift_pos_minus_neg,material_shift_n,material_shift_eeg_to_speech_top1,material_shift_speech_to_eeg_top1,material_shift_eeg_to_speech_top5,material_shift_speech_to_eeg_top5,material_shift_eeg_to_speech_mean_rank,material_shift_speech_to_eeg_mean_rank,material_shift_positive_cosine_mean,material_shift_negative_cosine_mean,material_shift_pos_minus_neg,fold,n_train_windows,n_val_windows,n_val_pair_keys,best_val_loss,best_epoch,final_temperature
14.0,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.35714285714285715,7.714285714285714,6.642857142857143,0.6206299900898758,0.6174389339975009,0.003191056092374911,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.35714285714285715,7.571428571428571,7.357142857142857,0.617572549544504,0.6176741217317604,-0.0001015721872563713,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.35714285714285715,7.571428571428571,7.357142857142857,0.617572549544504,0.6176741217317604,-0.0001015721872563713,speaker-42_emotion-fear,45850,784,14,2.6346666046551297,1,0.10383792198985185
14.0,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.5,6.571428571428571,5.714285714285714,0.42589013975730516,0.4085732165999939,0.01731692315731126,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.5,7.428571428571429,6.785714285714286,0.4115473845363641,0.40967650546314327,0.0018708790732208103,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.5,7.428571428571429,6.785714285714286,0.4115473845363641,0.40967650546314327,0.0018708790732208103,speaker-42_emotion-neutral,45752,882,14,2.6001997296772306,8,0.11920080657345085
14.0,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.5,7.428571428571429,6.5,0.6070825090876504,0.6031716655974723,0.0039108434901781175,14.0,0.07142857142857142,0.0,0.35714285714285715,0.21428571428571427,7.5,8.285714285714286,0.6029484247710928,0.6034896720833612,-0.0005412473122684558,14.0,0.07142857142857142,0.0,0.35714285714285715,0.21428571428571427,7.5,8.285714285714286,0.6029484247710928,0.6034896720833612,-0.0005412473122684558,speaker-43_emotion-amusement,45850,784,14,2.645590599094118,1,0.10385065367688356
14.0,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.6428571428571429,7.071428571428571,5.0,0.46315572059665916,0.458129050239905,0.005026670356754137,14.0,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,7.071428571428571,5.285714285714286,0.4599826144191198,0.458373135330485,0.001609479088634791,14.0,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,7.071428571428571,5.285714285714286,0.4599826144191198,0.458373135330485,0.001609479088634791,speaker-44_emotion-amusement,45752,882,14,2.6221765109470914,6,0.1167533800632193
14.0,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.42857142857142855,7.5,6.285714285714286,0.49740660219214394,0.4952833123471478,0.002123289844996157,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.35714285714285715,7.5,7.428571428571429,0.4950797365593606,0.49546230201120806,-0.0003825654518474497,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.35714285714285715,7.5,7.428571428571429,0.4950797365593606,0.49546230201120806,-0.0003825654518474497,speaker-46_emotion-anger,45850,784,14,2.6340609959193637,1,0.1020417080456269
14.0,0.07142857142857142,0.35714285714285715,0.42857142857142855,0.5714285714285714,6.642857142857143,5.071428571428571,0.4129690070439885,0.3996099418660095,0.013359065177978968,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.42857142857142855,7.5,7.214285714285714,0.39965581485797425,0.400634033572626,-0.0009782187146517574,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.42857142857142855,7.5,7.214285714285714,0.39965581485797425,0.400634033572626,-0.0009782187146517574,speaker-46_emotion-disgust,45752,882,14,2.6042511690230596,10,0.12149206234078133
14.0,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.5,7.142857142857143,5.928571428571429,0.37432432124810183,0.36419738001749147,0.010126941230610365,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.5714285714285714,7.428571428571429,5.928571428571429,0.3661905625542122,0.36482305376317525,0.00136750879103692,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.5714285714285714,7.428571428571429,5.928571428571429,0.3661905625542122,0.36482305376317525,0.00136750879103692,speaker-48_emotion-tenderness,45752,882,14,2.59761561287774,10,0.12181056037857628
14.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.5714285714285714,7.285714285714286,5.5,0.43510495584849324,0.4298307152329927,0.005274240615500525,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.5,7.428571428571429,6.5,0.43114882844615526,0.4301350327254802,0.0010137957206750592,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.5,7.428571428571429,6.5,0.43114882844615526,0.4301350327254802,0.0010137957206750592,speaker-49_emotion-amusement,45752,882,14,2.6239741718958296,6,0.11388716679692777
14.0,0.07142857142857142,0.14285714285714285,0.42857142857142855,0.42857142857142855,7.285714285714286,6.428571428571429,0.6133527376186765,0.6092509627470829,0.0041017748715935776,14.0,0.0,0.07142857142857142,0.2857142857142857,0.35714285714285715,8.142857142857142,7.857142857142857,0.6074179603745554,0.6097074840735538,-0.0022895236989983747,14.0,0.0,0.07142857142857142,0.2857142857142857,0.35714285714285715,8.142857142857142,7.857142857142857,0.6074179603745554,0.6097074840735538,-0.0022895236989983747,speaker-4_emotion-sadness,45850,784,14,2.650705873966217,1,0.10361038993120314
14.0,0.07142857142857142,0.21428571428571427,0.5,0.5,7.142857142857143,6.285714285714286,0.5900489790650681,0.5860619196771603,0.0039870593879078875,14.0,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.2857142857142857,7.571428571428571,6.928571428571429,0.5863555327347282,0.5863460309333403,9.501801387923337e-06,14.0,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.2857142857142857,7.571428571428571,6.928571428571429,0.5863555327347282,0.5863460309333403,9.501801387923337e-06,speaker-50_emotion-amusement,45850,784,14,2.650409753833498,1,0.10373883886613208
14.0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.5,6.5,5.571428571428571,0.4237114498622412,0.40894884189212694,0.01476260797011425,14.0,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.6428571428571429,7.285714285714286,4.928571428571429,0.41161169091235567,0.40987959258057965,0.0017320983317760108,14.0,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.6428571428571429,7.285714285714286,4.928571428571429,0.41161169091235567,0.40987959258057965,0.0017320983317760108,speaker-51_emotion-sadness,45752,882,14,2.589312534483652,13,0.12811018069801122
14.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.5714285714285714,7.214285714285714,5.857142857142857,0.4915825646693004,0.48922472512856985,0.002357839540730544,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.2857142857142857,7.357142857142857,8.0,0.48876837328961625,0.4894412013885456,-0.0006728280989293234,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.2857142857142857,7.357142857142857,8.0,0.48876837328961625,0.4894412013885456,-0.0006728280989293234,speaker-52_emotion-sadness,45850,784,14,2.6416132961000716,4,0.11151798962686668
